0:011 second[Music]
0:1515 seconds[Music]
0:1818 secondsright so let's get started with our second lecture on first-order logic in which we will discuss the subject of
0:2727 secondsinference we will have a few topics that we will cover today the very first one would be reducing
0:3535 secondsinference and first-order logic to inference in propositional logic and we
0:4343 secondswill see that I mentioned and this is actually common today and it is
0:5050 secondsparticularly effective for subsets of the logics we'll talk more about this later
0:5656 secondsand then we will discuss a method or a couple of methods for doing inference
1:041 minute, 4 secondsdirectly on first-order logic sentences you may want to think of these as simple
4:414 minutes, 41 secondsbecause if you apply this substitution to both of them you apply to the first you get nose John Oh J and you apply to
4:514 minutes, 51 secondsthe second you get nose so let's take a couple of more examples so in this case
4:584 minutes, 58 secondsnow we have something a little bit more involved we will have nose John X and
5:065 minutes, 6 secondsthen on the other side we have knows why alright so you can stare at it for a little bit and see what kind of unifier
5:155 minutes, 15 secondswe need again in general there is an algorithm for doing unification we will not give you the actual form and
5:235 minutes, 23 secondsalgorithm and the pseudocode and so on we will try to do it by visual inspection this should be sufficient for our class and one way of doing this is
5:325 minutes, 32 secondsmaybe you look at this and say what is obvious what is immediately has to be done so that this can be unified and in
5:415 minutes, 41 secondsthis particular case you know that you must bind the variable Y to John
5:465 minutes, 46 secondsotherwise to make this the same and if you do that then this guy here becomes
5:555 minutes, 55 secondsmother ah John right so the other thing you can do here is set X to the mother
6:026 minutes, 2 secondsright so let's try that out so if we apply the substitution to the first guy
6:076 minutes, 7 secondsit becomes nose John mother John and if
6:156 minutes, 15 secondsyou apply to the other one then you also get so we basically have these two guy
6:226 minutes, 22 secondsnow exactly the same right and of course you can't always unify certain things so let's look at this example if you have
6:306 minutes, 30 secondsnose John X and the other side you have
6:356 minutes, 35 secondsnose x oj you can do that right so if you
6:436 minutes, 43 secondslike to do that then you'll have to set X to John but then if you do that then you're gonna get the clash between these
6:516 minutes, 51 secondstwo guys right so he said X to John then that wouldn't John wouldn't match Oh J
6:596 minutes, 59 secondsand the other way around if you set X to OJ then you would get a clash with John so this will fail in this case and these
7:077 minutes, 7 secondscannot be defined okay as I said there is a general procedure for this doing
7:157 minutes, 15 secondsthis more generally and for a buttery kind of predicates is not as Styrian but this should be sufficient for us in
7:237 minutes, 23 secondsorder to be able to do it intuitively by visual inspection so now let's see why is this relevant because now we can go
7:327 minutes, 32 secondsahead and fill out the resolution ruling on the first order level and let's
7:407 minutes, 40 secondsbelieve back so next thing you have something like for all X which X implies
7:487 minutes, 48 secondsunhappy and let's say we also have rich Ken all right so this is all we have and
7:577 minutes, 57 secondsas I said to apply the solution you need to have it in a CNF form we haven't done that yet but I'm gonna go ahead and do
8:068 minutes, 6 secondsthe first one which will end up being this so if you compare the first
8:118 minutes, 11 secondsstatement to first order to CNF sorry
8:178 minutes, 17 secondsthen you will get this one and then we move to the other one again so it's
8:268 minutes, 26 secondspretty now at this point similar to what we did in the prepositional case and the prepositional case when we had something
8:328 minutes, 32 secondsnot let's say A or B and then we had a we could do resolution on these cancel
8:418 minutes, 41 secondsthese and conclude be right and more generally if we had not a or B or C and
8:498 minutes, 49 secondsthen let's say we had a or D again we cancel these and the rest the same thing
8:588 minutes, 58 secondsexcept in Chris Holden you may not have a and not a but you may have something similar to what's going on here where we
9:069 minutes, 6 secondshave not rich X and then I have rich Ken all right so these are not exactly the
9:139 minutes, 13 secondssame this is not exactly like that but I can unify them and if you are unify them in this case we unify that would be this
9:219 minutes, 21 secondsguy so I can set the variable X to the constant Ken in this particular case if I apply the substitution to this guy
9:299 minutes, 29 secondsthen I will get not rich Ken and if I apply to this guy I will also get H Ken
9:399 minutes, 39 secondsand now I can do to the motion and that's the idea in this particular case so to apply resolution here what I will
9:479 minutes, 47 secondsneed to do is do the unification and here's the interesting part when I did the unification in this case I've got
9:569 minutes, 56 secondsthe unifier that sets X to Ken now when
10:0310 minutes, 3 secondsI cancel this with that under there something is excess set to Ken then the conclusion that I'm gonna get which is
10:1010 minutes, 10 secondsunhappy now has to be Ken that's what I actually concluded in this particular case I concluded particularly that can
10:1810 minutes, 18 secondsis unhappy so you have to apply begin a fire that you got to to the result of
10:2810 minutes, 28 secondsunification and the specific case we will take examples of this and in
10:3510 minutes, 35 secondsparticular how to convert to CNF and then we will go ahead and to example of resolution I think I will do
10:4410 minutes, 44 secondsthe example of resolution first and then I will leave the conversion to CNF to
10:5110 minutes, 51 secondsthe last part which is similar to how we did it in propositional logic this way you get some intuition about things
10:5910 minutes, 59 secondsbefore we go ahead and do the conversion to Vienna so in this particular example that we will discuss again we have a
11:0611 minutes, 6 secondslittle story I'm gonna read it for you first and then I will write out the first-order sentences that correspond to
11:1411 minutes, 14 secondsit and then I will show you the CNF of that and then we'll do a resolution on
11:2111 minutes, 21 secondsit in fact let me go ahead and write these statements of the story first alright so this is the story that we
11:2711 minutes, 27 secondshave we have that Jack owns a dog every dog owner is an animal lover no animal
11:3611 minutes, 36 secondslover he's an animal either jack or curiosity killed the cat cats are animals and then the query that we have with curiosity can be cat that's what
11:4411 minutes, 44 secondswe're gonna try to prove now what a loon X is write down the first other sentences that correspond to these
11:5211 minutes, 52 secondsnatural language sentences and then I will show you how they look in CNF form alright so these are the first-order
12:0112 minutes, 1 secondsentences that represent this example the first one here is basically saying that we have a dog and it's owned by
12:1012 minutes, 10 secondsJack the second statement here basically says that every dog owner is an animal
12:1612 minutes, 16 secondslover now if you look at the premise it says this component here this statement
12:2412 minutes, 24 secondssays there exists a Y and it's owned by X so what this statement saying that X
12:3012 minutes, 30 secondsthe variable X is dog owner and then you have for all X if X is a dog owner then they're an animal lover and then we have
12:4012 minutes, 40 secondsthe third statement in this particular case which says animal lovers will not kill animals right so you can see this
12:4912 minutes, 49 secondspart here again what this guy's saying is if Y is an animal and they're not killed by X but X would
12:5612 minutes, 56 secondsnot give them and this statement saying that if X is an animal over the next would not kill Nana and so on so the the
13:0413 minutes, 4 secondsstatement after that this guy says that either jackal tuna or curious little tuna so tuna here is the cat and then
13:1313 minutes, 13 secondsthis is saying that tuna is the cat and then finally this thing that every cat is animal so we have these dice and what
13:2313 minutes, 23 secondswe really want to prove from them or show if indeed curiosity killed the cat
13:3113 minutes, 31 secondswhich is this guy right you want to see if Kim's curiosity tuna and as we
13:4013 minutes, 40 secondsmentioned the way you would do this is you would first compare all of mr. C&L all right this is Delta and this is
13:4813 minutes, 48 secondsalpha in our case you convert that to CNF and then you negate alpha sorry the NCNR and then we applied a solution to
13:5613 minutes, 56 secondsthat and then what we want to do is try to derive a contradiction just like we did it in the propositional logic case
14:0414 minutes, 4 secondsand to do that what we will need to have is we see enough compression so I'm gonna just show you this because we
14:1214 minutes, 12 secondshaven't shown how to do it so I'll just go ahead and do it actually up here all
14:2014 minutes, 20 secondsright so just like we did it in the propositional case we will have clauses and I will number that because we would use these numbers when we do a
14:2814 minutes, 28 secondsresolution so let me go ahead and write them all right so here's the knowledge
14:3514 minutes, 35 secondsbase Delta that would be these guys in CNF and then we also have not alpha
14:4414 minutes, 44 secondswhich is this guy here right now how do we get these clauses one through seven
14:5114 minutes, 51 secondswe didn't explain that yet but that's a process that we're gonna go over but we do have them now and then close number
14:5914 minutes, 59 secondszero which I could at the very end that's the negated query and what we'd like to do here is basically try to apply resolution and therefore the
15:0715 minutes, 7 secondsso let's be similar to what we've done improve the prepositional case we pick two clauses and we try to resolve them
15:1515 minutes, 15 secondstogether but we will have to sometimes find a unifier so next go ahead and start let's say with 1 & 3
15:2515 minutes, 25 secondsnow one says dog didi is a constant and 3 basically says not on the XY or not
15:3415 minutes, 34 secondsthat so we can do the resolution in this case in particular if you look at this
15:4115 minutes, 41 secondsguy here and you look at that that's an opportunity to apply resolution but in this case we have to do a unification
15:4815 minutes, 48 secondsunification of this case is that we have to set Y to the constant T right and if we actually go ahead and do that we will
15:5715 minutes, 57 secondsget basically close eight and it will
16:0216 minutes, 2 secondsend up saying not o XD or animal lover X
16:0916 minutes, 9 secondsright remember the unifier here who was that wine had to be to the constant
16:1916 minutes, 19 secondsthat's what happened in this particular case and then we can keep moving so we
16:2516 minutes, 25 secondscan go ahead and get another close I can create more space so we can do nine here which is between two and eight so if you
16:3416 minutes, 34 secondslook at two in this particular case we've got this guy if you look at 8
16:4416 minutes, 44 secondswhich we just did we have this guy again we can apply resolution in this case and
16:5116 minutes, 51 secondsin fact this would be what we would call a unit resolution but we have to come up with the unifier and this unifier will
17:0017 minutesbasically says that excess to be Jack and if we go ahead and do the unification what we would actually end
17:0917 minutes, 9 secondsup deriving is another okay one more here is close 10 the next one that will
17:1717 minutes, 17 secondsbe sick and seven if you look at six and seven and six we have cat tuna and seven not
17:2517 minutes, 25 secondscat X or animal X again we can unify these two guys and the unifier would be
17:3317 minutes, 33 secondsthat X would be bound to tuna and then we can cancel these two guys and then
17:4017 minutes, 40 secondswhat we'll end up concluding is animal tuna all right we keep going we're trying to get a contradiction and in
17:4717 minutes, 47 secondsthis case we're gonna do four and ten so if you do 4 and 10 10 says animal tuna
17:5617 minutes, 56 secondsand four let me highlight this here we're doing this guy and if you look at 4 we've got that guy here we can unify
18:0418 minutes, 4 secondsthem and the unifier would be that I would want Y to be tuna and then we can
18:1018 minutes, 10 secondscancel that radical X negation and the conclusion that we will get in this
18:1618 minutes, 16 secondsparticular case would be not a lover X
18:2218 minutes, 22 secondsor not kills next tuna all right so this would be this is this guy here all right
18:3218 minutes, 32 secondsso we've got a couple of more steps and we'll be done with this example so we have here the 12th claws and that we're
18:3918 minutes, 39 secondsgoing to be doing 9 and 11 so if you look at 911 mine says jack is an animal lover and 11 says not animal or X or
18:4818 minutes, 48 secondsthat kills X tuna so again we can do unification and then in the unifier in
18:5518 minutes, 55 secondsthis case would be that X has to be bound to Jack and if we do that once
19:0219 minutes, 2 secondsmore look at this guy this we would have not animal lover Jack and then here we have animal lover black we cancel them
19:1019 minutes, 10 secondsand therefore we end up getting not killed Jack tuna all right and our last
19:1819 minutes, 18 secondsguy here will be 13 and in 13 what we will do is 0 and 5 so if you look at 0
19:2619 minutes, 26 secondsit says not conspiracy tuna if you look at 5 it says they killed jack tuna or callous
19:3319 minutes, 33 secondscuriosity tuna right so we can apply resolution in this case and then what we
19:3919 minutes, 39 secondswill get is kills right so what we did here is again look at 0 this is 0 and
19:4819 minutes, 48 secondsthis is 5 so we didn't have to do any unification in this particular case we simply cancel this and that and then we
19:5719 minutes, 57 secondsend up reaching this particle but now you can see that what we've done is we have 14 which is empty clause she
20:0720 minutes, 7 secondsremember that convention or basically contradiction and that's a game 12 and 15 so what we've done in this particular
20:1520 minutes, 15 secondscase is we've shown a contradiction what does that mean that means we have shown that Delta and not alpha is an
20:2220 minutes, 22 secondssatisfied and therefore we have also shown that Delta implies and so Jack is
20:3120 minutes, 31 secondsactually innocent and it is indeed that curiosity that couldn't be cat tuna all
20:4020 minutes, 40 secondsright so this would be our resolution example the only thing left is next is to actually show you how do you do the
20:4620 minutes, 46 secondsconversion into a conjunctive normal form in the first other case which is
20:5320 minutes, 53 secondspart of it is similar to the proposition case but there is a little bit of an addition all right so let's do that next
21:0321 minutes, 3 secondswe will use the following sentence as an example to illustrate the various steps that we would take so what this sentence
21:1221 minutes, 12 secondsbasically says is that everyone who loves all animals is loved by someone
21:2021 minutes, 20 secondsyou can try to look at this again and convince yourself that it is indeed saying this but it's similar to some of
21:2721 minutes, 27 secondsthe sentences that we wrote in the last lecture so the steps that we have to go through to convert this into a CNF are
21:3621 minutes, 36 secondsrelatively similar to the ones for propositional logic there is a few additional steps in the middle
21:4421 minutes, 44 secondsbut the very first one for example is pretty much the same where we eliminate
21:5121 minutes, 51 secondsso this first step is basically what we eliminate the connectives except for
21:5821 minutes, 58 secondsconjunction disjunction and negation so in this particular case we do have
22:0622 minutes, 6 secondsactually two of these connectives we have this guy here and we have that guy
22:1222 minutes, 12 secondsso the rule as we know it is the following if we have this guy then we
22:1922 minutes, 19 secondssimply write it that way and if we go ahead and do the very first one which is
22:2722 minutes, 27 secondsthis guy we will end up adding a negation before
22:3322 minutes, 33 secondsthis here and if we want to do this guy then we end up adding a negation right
22:4222 minutes, 42 secondsthere and that's what we were gonna do next and then the sentence would end up
22:4722 minutes, 47 secondslooking like for all X naught for all Y
22:5522 minutes, 55 secondsnot animal all right so this is the result that we have in this
23:0523 minutes, 5 secondscase and again realized that we actually had these two negations this guy and
23:1123 minutes, 11 secondsthat guy as a result of doing this now the next step is also similar to what
23:1823 minutes, 18 secondswe've done in propositional logic where we go ahead and move negations inwards
23:2523 minutes, 25 secondsand if you recall from propositional logic we had de Morgan's law which said
23:3323 minutes, 33 secondsif you had the following then that becomes this right so we have flipped
23:4123 minutes, 41 secondsthe conjunction into a disjunction and if we have this then that becomes that
23:4923 minutes, 49 secondsbut then we have two more rules in this case which apply and be first order setting and that is if I have a negation
23:5823 minutes, 58 secondsand then I have for all X and let's say some alpha that goes and becomes there
24:0524 minutes, 5 secondsexists X naught alpha so when the negation goes past the quantifier it actually flips it and here we have this
24:1324 minutes, 13 secondsguy and that becomes for all X not alpha
24:2224 minutes, 22 secondsall right so if we go ahead and do this in this case we only have one negation
24:2924 minutes, 29 secondsthat we want to push which is this guy now if we push this then the for all Y
24:3524 minutes, 35 secondsbecomes that exists Y and then the rest of it will be de Morgan's law so let's
24:4424 minutes, 44 secondsgo ahead and do this and then we will have for all X and then we would have here that exists Y now when you put this
24:5424 minutes, 54 secondsnegation here they have double negation three cancel so I have animal why and then remember this guy will have to flip
25:0125 minutes, 1 secondand then hums XY okay I cornered myself here so
25:0825 minutes, 8 secondsI'm gonna do it this year and then we copy this guy as it's alright very good
25:1725 minutes, 17 secondsso now we go to the next step and this
25:2325 minutes, 23 secondsnext step is the first one where we is
25:3025 minutes, 30 secondsspecific also to first order logic where we have to make sure that the variables
25:3625 minutes, 36 secondsthat are quantified over are distinct so if you look in this particular case you will see that I have there exists Y here
25:4525 minutes, 45 secondsand I have there exists Y here now so far this is okay but then because of the steps were going to do data we can't
25:5225 minutes, 52 secondshave this ambiguity so basically we need to make sure that each quantifier has a
25:5825 minutes, 58 secondsdistinct variable and in this case all we have to do is for example rename this guy to be Z so this is known as the step
26:0726 minutes, 7 secondsof you stand price variables so we'll
26:1826 minutes, 18 secondshave to copy it in this case there's not much change so that's the result now the next one is probably the more involved
26:2726 minutes, 27 secondschange compared to propositional logic so in this case what we want to do is get rid of the existential quantifiers
26:3726 minutes, 37 secondswe we don't want any existent quantifiers now we've seen an example of this before when we did existential
26:4526 minutes, 45 secondsquantification and the idea there was if I had some variable X let's say in some predicate P and then I have there exists
26:5426 minutes, 54 secondsX and then P X so what we would do in that case we would drop this quantifier and replace X by some constant that is
27:0227 minutes, 2 secondsunique that's not in the knowledge base it's let's say C 1 so instead of this you end up having P of C 1 now this
27:1127 minutes, 11 secondsworks but what we'd have to do next is go a little more general and I'll tell you what's going on here what's going on here is if you look at
27:2027 minutes, 20 secondsthis existence you're equal to Phi or Y you would see that it's actually in the scope of a universal quantifier for all
27:2727 minutes, 27 secondsX so when you say for all X that exists Y this particular Y is in a sense a function of X depends on what X is so
27:3727 minutes, 37 secondsfor all X their son Y so you can't just replace it by a constant you have to
27:4527 minutes, 45 secondsflip the fact that that constant in a sense depends on X and the way to do this is to use a function of X instead
27:5427 minutes, 54 secondsso let me write down the answer and then I'll explain it to you more so this step
28:0128 minutes, 1 secondis actually known as skolemization or we Scala Mize this is in reference to
28:0928 minutes, 9 secondsskolem who actually proposed this techniques and the answer in this case will be the following alright so what
28:1628 minutes, 16 secondshappened here is the there exists Y is dropped and then instead of the variable
28:2428 minutes, 24 secondsY what we have now is f of X f is a function symbol it has to be again in
28:3128 minutes, 31 secondsyou not reused basically saying instead of saying oh there exists some why that depends on X
28:3828 minutes, 38 secondswe just say f of X an object that is a function of X and we did the same thing here that's the other occurrence of Y
28:4528 minutes, 45 secondsand if you look here we had G of X this is for the there exists C so the dropping will be easy variable which is
28:5428 minutes, 54 secondsessentially quantified over and we ended up replace again by that alright so
29:0129 minutes, 1 secondsometimes we call these skolem functions now if you did not have the exist
29:0929 minutes, 9 secondsactually quantifier in the scope of universal quantifier like we have here you would do this that would be in a special case you would just replace it by a constant and this would be called s
29:1829 minutes, 18 secondscolumn constant right so this here is a special case of the so we basically have
29:2729 minutes, 27 secondsjust two more steps and the next step which I'm gonna do implicitly is that we
29:3429 minutes, 34 secondscan now drop Universal quantifiers because at this point we only have Universal quantifiers so there is really no need for that so what we can do is
29:4229 minutes, 42 secondsbasically just remove that and then this is how the sentence would look in that case do anything we put it as step 5 so
29:5129 minutes, 51 secondsI'm gonna just do it here which is drop Universal quantifiers okay but we just
29:5929 minutes, 59 secondsdid this step I just need to leave room for the last step and the last step is the distribution step which we know from
30:0630 minutes, 6 secondspropositional logic so this is the distribute and if you remember what this was what we had I would use blue today
30:1630 minutes, 16 secondswhat we will do in that case is if I had the following then this becomes this and
30:2430 minutes, 24 secondsif you look at the sentence we have from step 4 or actually step 5 it's exactly this pattern so if we go ahead and do the
30:3230 minutes, 32 secondsdistribution then we now have our final answer that is defined as in this case
30:4030 minutes, 40 secondswe simply applied this the solution law and we basically got
30:4630 minutes, 46 secondstwo clauses so the very first Clause is this guy here and the second clause is
30:5430 minutes, 54 secondsthis particular one and the first one basically says element of X or loves G
31:0131 minutes, 1 secondof X comma X and the second clause says not loves X f of X or loves G of X X and
31:0931 minutes, 9 secondstypically we split these two separate lines and give them numbers and then we move on with our application of
31:1631 minutes, 16 secondsresolution so this is basically the six step process for converting to CNF in the first order case and this is
31:2431 minutes, 24 secondsconcludes the last part of the lecture today so what we did in the second part is first discuss resolution and the
31:3431 minutes, 34 secondsfirst at the first order level which required us to talk about the notion of unification which was new compared to the propositional case and then we did a
31:4231 minutes, 42 secondsfull example of resolution showing how we can use it to do entertainment and then finally we showed how we convert to
31:5131 minutes, 51 secondsCNF for I so this is gonna be the end of our discussion on first-order logic and
31:5731 minutes, 57 secondsnext lecture we will start a new topic which is basically knowledge representation reasoning and learning
32:0632 minutes, 6 secondsunder uncertainty and in particular promised reasoning so I will see you then thank you
