0:011 second[Music]
0:1515 seconds[Music]
0:1818 secondsall right welcome back to 161 this is lecture 11 we will continue today our
0:2525 secondsdiscussion on logic we started initially by talking about propositional logic today we will talk
0:3232 secondsabout the more advanced type of logic that's known as first-order logic sometimes this is also known by the
0:4141 secondsacronym fol it's also known as political calculus and we will see the reason for
0:4949 secondsthis particular name and just a little bit this is a quite influential logic not just in computer science and AI but
0:5858 secondseven before that but had played a role in philosophy and mathematics in fact some of you may have been exposed to it
1:071 minute, 7 secondsin these other contexts particularly philosophy if you've taken perhaps a
5:355 minutes, 35 secondsspot implies that Z equal X or Z equals y this was one of the solutions that one
5:435 minutes, 43 secondsof you actually contributed and it just continues it says yeah that is x and y and both sisters by the way that man the
5:525 minutes, 52 secondssame and moreover if some Z happens to be a sister of spot that I can tell you that she must be either X or Y couldn't
5:595 minutes, 59 secondsbe anything else so this actually does it now a bunch of you wrote expressions again apologies I can't parse them all
6:076 minutes, 7 secondsof them is not as easy to do this but let me do something here which and asked you yes no question so instead of doing
6:166 minutes, 16 secondsthis instead of writing this guy here let me write something else and you guys tell me if it is the same or not so
6:256 minutes, 25 secondsinstead of this guy I want to write the following and this is not there exists Z
6:356 minutes, 35 secondssister spot so what do you guys think the question is can I use the guy in red
6:456 minutes, 45 secondsinstead of the guy back so the guy in red saying there's some Z which happens to be system's fault that is not X and that is not why and
6:556 minutes, 55 secondsI'm just negating all of us so do people think that they're the same okay good so
7:027 minutes, 2 secondsa bunch of people are saying yes yes that always also works in terms of meaning it's the same very good yes in fact it will be very good exercise
7:117 minutes, 11 secondsand maybe we should try to do it or maybe you can type at home do the
7:177 minutes, 17 secondsfollowing try to simplify this guy and see if it actually comes out to that and
7:247 minutes, 24 secondsit should and and we know how to do this all we have to do is push the negation inside right you guys know how to do that now if we push the negation inside
7:337 minutes, 33 secondswhat happens we're gonna push this guy inside when you pass through this guy it becomes for all he remember that and then keep going when you get not system
7:427 minutes, 42 secondsZ spot and keep going the morgue is law this flips into an or and double negation here this becomes Z
7:517 minutes, 51 secondsequals x this flips into an or and then double negation it goes away so you get this so if we push the
7:597 minutes, 59 secondsnegation inside that's what we get we did two things here we applied the rule that says if you walk through there exists it becomes for all and the other
8:068 minutes, 6 secondsway around and that's how we got this guy and the rest of it is just the Morgan's law now you remember that not
8:158 minutes, 15 secondsalpha or beta is the same as alpha implies that I remember this Golden Rule we mentioned and you said you have to
8:228 minutes, 22 secondskind of try to remember this okay now think of this guy here as alpha and
8:288 minutes, 28 secondsthink of this whole thing as beta so what do I have not alpha or beta I can
8:368 minutes, 36 secondsmake it into an implication by saying the sister Z spot implies Z equals x or y equals y
8:478 minutes, 47 secondswhich is the first statement that we have let's copy this and I guess then I you have all of the tools not only to
8:578 minutes, 57 secondsintuitively say in that these two statements statement 1 and statement 2 are the same but you can actually use the tools that
9:069 minutes, 6 secondsyou have to show that formally and prove that one of them is the same as the other and therefore they say the same
9:139 minutes, 13 secondsthing very vague let's do a couple of more things here sometimes people use another kind of
9:239 minutes, 23 secondsquantifier that looks like this it's not as common but we'll mention it because it will help us do another exercise so
9:309 minutes, 30 secondsthis the idea here is this is there exists a unique instead of just saying that exists so you can think of this as
9:389 minutes, 38 secondsthe uniqueness 25 so what is that if I go ahead and say the following if I
9:459 minutes, 45 secondswrite the following then this is saying that there is exactly one king so once
9:519 minutes, 51 secondsmore as an exercise I want you to represent this using the usual or the
9:599 minutes, 59 secondstraditional existential quantifier to say the same thing what would this come out to if I want to not use this guy
10:0910 minutes, 9 secondsbecause we don't need it really you can do the same thing just with a regular existence should quantify so for example if I simply go ahead and say there
10:1810 minutes, 18 secondsexists X King X that doesn't do it right because this leaves out the possibility
10:2610 minutes, 26 secondsof having more than one King this is saying there's at least one thing but I want to say there's exactly one K and similarly to simplify it I want you to
10:3510 minutes, 35 secondsjust add more to this so I want you to add something here that end up having
10:4110 minutes, 41 secondsthat intended effect of saying there's only one king not more than one king and
10:4810 minutes, 48 secondslet's see what people are saying someone is saying all we have to do is to say
10:5710 minutes, 57 secondsfor all Y King Y implies x equals y very
11:0611 minutes, 6 secondsgood yes right so the first process there is a king and the other okay I made a mistake here can someone point
11:1411 minutes, 14 secondsit to me I did something wrong in terms of the okay I'm not gonna tell you what it is but it's maybe useful thing for you to
11:2311 minutes, 23 secondscatch there is a problem with what I wrote it's almost time I just did something that is problematic people can people
11:3011 minutes, 30 secondsnotice that very good very good very good look what happened here this bracket is wrong right this bracket here is
11:3911 minutes, 39 secondssuggesting that the scope of X is only in this but but it's not actually active here this actually let me see if I know
11:4611 minutes, 46 secondsif I can do this right this X here that's this guy now it is proper because
11:5611 minutes, 56 secondsthis thing okay there is an X and X happens to be king and by the way for any other King Y that y must be X and
12:0512 minutes, 5 secondsthis brings us to this notion of scoping and let me do one more example on this one to explain this point this is an
12:1412 minutes, 14 secondsimportant point and you'll have to pay attention to it the situation is actually similar to variables in writing
12:2112 minutes, 21 secondsprograms so for example it is okay to write the following let me put the sentencing okay look at the statement
12:3012 minutes, 30 secondsthe question is you don't notice the answer yet but based on your intuition do you think this is of qiyama is that
12:3712 minutes, 37 secondsokay or not should be allowed or not yes or no all right so a lot of people are saying no no no no it should not be
12:4512 minutes, 45 secondsallowed well in a programming language what happens if you have a variable that
12:5312 minutes, 53 secondshas this in a sense bigger scope and inside that scope that variable is defined and used again this is fun this
13:0313 minutes, 3 secondsis fine but then this time here is universally quantified and this guy here is existential quantifier it's not good
13:1113 minutes, 11 secondspractice you probably don't want to do this all right it's not good practice you don't want to do this but this should be fine in the sense that this
13:2013 minutes, 20 secondsguy now becomes existentially quantified and basically you lost the universal quantification here it doesn't extend to
13:2813 minutes, 28 secondsall of the one thing you need to just know on this front is you want to avoid having
13:3513 minutes, 35 secondswhat we call three variables that would be a problem three variables are
13:4213 minutes, 42 secondsvariables that have no quantifiers that's not okay and when we say there is
13:5113 minutes, 51 secondsthe notion of a well-formed formula in first order logic and it basically means
14:0014 minutesthat it is an expression with no free variables so you want to make sure that
14:0914 minutes, 9 secondsevery variable is quantified over otherwise you don't have a legitimate formula let me now move to a little bit
14:1814 minutes, 18 secondsof a more comprehensive bigger example and this is something that's discussed in detail in your book we will not do it
14:2714 minutes, 27 secondsfully when you see how much we will sketch but it's useful to in the state a number of points when you start putting all of these things together and using
14:3614 minutes, 36 secondsthem in a more substantial fashion but before I do that let me tell you something interesting before we get to
14:4414 minutes, 44 secondsthat exam and this is with regards to inference in first order logic so if you look at the picture where we have a box
14:5314 minutes, 53 secondslike this and let's call it an inference engine and the goal of this is to do implications we've seen examples of that a lot of
15:0215 minutes, 2 secondsthem in propositional logic you have a knowledge base which is a set of statements and then you have a query and typically we're interested in does the
15:0915 minutes, 9 secondsquery follow from the knowledge base now in propositional logic because the answer was always yes no right if you
15:1715 minutes, 17 secondsremember we used to call this Delta I wish to call this alpha and then I asked you this Delta imply alpha and then again yes
15:2415 minutes, 24 secondsno now things are a little bit more interesting in this particular case and let me explain so let's say your
15:3115 minutes, 31 secondsknowledge base looks like this pretty simple it just have the statement that says for all
15:4015 minutes, 40 secondscats X implies I'm an ax and then it happens that we have tuna which is a cat
15:5015 minutes, 50 secondsand we have spot which is a cat that's our knowledge base right it's got three sentences in it let's put it this way
15:5815 minutes, 58 secondsnow and let's say that the query is does there exist a mama that's the query and now I wanna know does this query follow
16:0716 minutes, 7 secondsfrom the knowledge base what do you guys think yes or no in this case so the query is does there exist a mammal and
16:1516 minutes, 15 secondsthen we're having cat tuna cat spot and then cats are mammals and people are saying yes okay now here's the thing the
16:2316 minutes, 23 secondsthing though is in the way inference works in first order logic and we'll see that next time not only can you answer
16:3116 minutes, 31 secondsthe question in this case but you can also get what we call a binding list which gives you
16:3816 minutes, 38 secondsmore information and in this case the binding list would be the following you
16:4616 minutes, 46 secondswill get that X and it will be bound to spot or X would be bound to tuna that is
16:5316 minutes, 53 secondsyou did not only get the answers yes but also oh if you the possible values for X
17:0217 minutes, 2 secondshere are spot or tuna so in a way in the process of answering the query you do
17:0917 minutes, 9 secondsthe computation right you did not only answer yes or no but you even gave me the reasons why that answer is that way
17:1817 minutes, 18 secondswhat happened here is the secret is I asked an existential is there an X that satisfy this property and it won't be
17:2717 minutes, 27 secondsguessed and here are the XS that were questioned for people who took the course programming languages where you
17:3417 minutes, 34 secondsgot exposed to various types of programming languages does this remind you of something there is a language
17:4117 minutes, 41 secondsthat you studied there a lot of people typing prologue prologue prologue prologue yes yes in fact Prolog is
17:4917 minutes, 49 secondslogical in language and it was based on these ideas it's a restricted form of this
17:5617 minutes, 56 secondsvery good and someone said they just starting with yesterday for those who are taking the course in this quarter so
18:0318 minutes, 3 secondsyou will see this more in action later I just wanted to give you and that before we get started okay let me go to the next example
18:1118 minutes, 11 secondsthe fully fledged one so in this example from your book what we have here is a little circuit board and we have a bunch
18:2118 minutes, 21 secondsof gates B this would be what we call an X or and the idea is that this is gate
18:2718 minutes, 27 secondsthat will generate high or 1 if and only if X two inputs are distinct and this would be an end here and this would be
18:3618 minutes, 36 secondsand or and this circuit has three inputs and two outputs it corresponds to what
18:4518 minutes, 45 secondsis known as one bit full adder doesn't matter you may have seen this you can cascade these things and use it to add
18:5418 minutes, 54 secondsbinary numbers you can think of the 1 & 2 inputs as the 2 bits you're trying to add and then number 3 here is the carry
19:0219 minutes, 2 secondsand and so on but that doesn't matter for us what matters is if you go ahead and say this is a 1 this is a 1 and this
19:1119 minutes, 11 secondsis a 1 and do the actual computations you should get basically a 0 here 1 & 1
19:2019 minutes, 20 secondshere 0 here and this would be I think if you can trace that again this doesn't matter in fact I'm gonna take this it's
19:2919 minutes, 29 secondsgonna be known just practice the point is of this example if I want to reason about circuits of this stuff and the
19:3919 minutes, 39 secondssurface kind of reasoning would be if I tell you what are the inputs to the circuit you compute the output on the
19:4519 minutes, 45 secondsopposite I tell you I have a 0 here and a 1 there can you tell me what kind of inputs to the circuit will generate that
19:5419 minutes, 54 secondskind of an output now that becomes a little bit tricky so the first kind of a query I give you the inputs you can easily do the output but if I tell you
20:0220 minutes, 2 secondsthe reverse right use the outputs what kind of inputs will generate that now can also do more sophisticated things we're not gonna do it in the example
20:1020 minutes, 10 secondsthat we're gonna work out next but you can reason about the health right so you can assume that gates can break or some
20:1720 minutes, 17 secondsconnections can be loose and then you can go and say okay I did apply if you saw in the example if I give 1 1 1 I
20:2420 minutes, 24 secondsshould get 1 1 as an output let's say you go ahead and do 1 1 1 and then you don't get 1 1 as the output then
20:3220 minutes, 32 secondssomething went wrong so you can actually use reasoning to figure out what may have gone wrong so you could go and say oh it must be the scale it's broken and
20:4020 minutes, 40 secondsso on so that's the kind of thing we want to do now when you do this you can represent knowledge using first order logic and the keeping that you'll have
20:4820 minutes, 48 secondsto realize that your knowledge base will have two components there is a component that is independent of this particular
20:5720 minutes, 57 secondscircuit what we will do is wanna reason this is about this particular circuit but there's a component that's independent of this particular circuit
21:0521 minutes, 5 secondsso this captures the domain and then there is the component of the knowledge base which is this circuit meaning I
21:1421 minutes, 14 secondshave to say that I have five gates and they're called X 1 X 2 that' and they're connected in this particular way and so
21:2021 minutes, 20 secondson so this is the instance if you want to think about it alright so you're gonna find that your knowledge base has
21:2721 minutes, 27 secondsthese two components and we'll see this concretely once you put the knowledge base together then you can ask queries
21:3521 minutes, 35 secondsalright and I will just before we get started before we so that we don't lose
21:4121 minutes, 41 secondssight of what's going on here when we're done with the knowledge base then you
21:4821 minutes, 48 secondscan go and ask the following kind of questions let me write this question can I actually write it not yet I need the
21:5621 minutes, 56 secondsvocabulary for that but anyways you can music we need to say if I have a 0 here and a 1 here what kind of pose would
22:0322 minutes, 3 secondspossibly generate that kind of an output and it would end up being something like that exist input one that exists in co2
22:1322 minutes, 13 secondsthat exists input 3 and then you write home statement there and then when you get the answer yes
22:2022 minutes, 20 secondsthen the binding list for these guys will give you the kind of three inputs that will give you that but let's go and talk about the details here first thing
22:2822 minutes, 28 secondsthat we need to be here is come up with Bieber calculate right so the steps are pretty simple when you do something like this first you come up with the
22:3622 minutes, 36 secondsvocabulary and if you remember what the vocabulary was and let me use blue this
22:4322 minutes, 43 secondswas the set of constants the set of functions and the set of predicates and
22:5022 minutes, 50 secondsif you recall we mentioned that this is specific to the domain that you're trying to model if you're talking about circuits you will lose something if
22:5822 minutes, 58 secondsyou're talking about the one person or do you use other things right and then this is step one and then step two is we
23:0823 minutes, 8 secondswrite that part of the knowledge base that is general not specific to this particular circuit and the third step is we encode this particular instance so we
23:1623 minutes, 16 secondscan reason about it now there are multiple ways in which you can come up with the vocabulary here so when we do this on a board we try to experiment
23:2423 minutes, 24 secondswith various things and look at their implications and so on unfortunately this mode when luckily very very miss it
23:3123 minutes, 31 secondsfor that so I will go ahead and just write the vocabulary for you that is
23:3823 minutes, 38 secondsused on the book in this example and I can say up front it doesn't have to be this way you could have done things a little bit differently as far as
23:4723 minutes, 47 secondsconstants we'll end up using the following we need the constant and
23:5423 minutes, 54 secondsconstant or the constant not the constant X or and these are meant to
24:0324 minutes, 3 secondsrefer to the type of gates so I want to say that this is an and gate so I will use these show bear with me for just a
24:1224 minutes, 12 secondssecond and you'll see the relevance of all of us I would end up using the constant 0 and 1 to refer to the signals
24:2024 minutes, 20 secondson the wires whether there and then I will meet the constant X 1 X 2 a 1 a 2
24:2824 minutes, 28 secondsand a 1 to be able to about these specific gates that appear in the circuit so you want to think
24:3724 minutes, 37 secondsabout these constants here this is domain I always use these and these are used for the specific instance as far as
24:4624 minutes, 46 secondsfunctions and end up needing the function type which takes a gain and comes back with the type of that gate
24:5324 minutes, 53 secondswhether its end or all and so on I need the notion of a signal for the function of a signal which looks at the
25:0025 minutesoutput or an input of a gate and returns 0 1 and finally I need in and out and these are meant to take a gate and
25:1025 minutes, 10 secondsrepresents the first input the second input output and so on and finally I only need one predicate which is
25:1725 minutes, 17 secondsconnected and that means that the output of one gate is connected to another ok you're gonna see all of this coming together you probably is wondering why
25:2625 minutes, 26 secondsthat's quite something else where would I start and I get this problem so let me tell you upfront down don't worry about
25:3325 minutes, 33 secondsthis we will not actually ask you to encode problems of this skin if you're
25:4025 minutes, 40 secondsworried about fine and and so on they will be more like what we did before all right so just sit and enjoy this and and
25:4725 minutes, 47 secondsknow that this is not easy for the first time so you have to do a number of these before you start really getting a hang
25:5425 minutes, 54 secondsof how this is done and in this class that would be outside the scope of what we what we need to do here so you could
26:0126 minutes, 1 secondhave done this differently when we do a little bit more of this you may look at this and says oh I could have done it differently fine yes I believe that so
26:0826 minutes, 8 secondslet's go ahead and start seeing what we need to write here to formulate this
26:1526 minutes, 15 secondsproblem and I'm gonna erase this part here all right so the first thing we're
26:2226 minutes, 22 secondsgonna do is try to write the domain part of the knowledge base the part that does
26:3026 minutes, 30 secondsnot pertain to this particular circuit but that talks about this more generally and again I'm gonna start writing some sentences and we'll try to understand
26:3926 minutes, 39 secondsthem and believe in them locally and then we'll comment more generally about things so here's some
26:4626 minutes, 46 secondsthat you end up writing let me correct and then we can basically see what it's
26:5326 minutes, 53 secondssaying for all T 1 T 2 so what this is saying is if two wires or two ports
27:0227 minutes, 2 secondsthere's the notion of a port here which is an input or an output of a gate if they're connected then they must have
27:0827 minutes, 8 secondsthe same signal and then you have something like for all T 1 T 2 connected
27:1827 minutes, 18 secondsT 1 T 2 is the same as connected T 2 can
27:2527 minutes, 25 secondsyou watch this is like symmetric now you see why do I need this well believe it or not for you and I if I tell you that the output of this
27:3427 minutes, 34 secondsconnect with the input of this does that mean that the input of this is connected to that well you and I know this yes but first of all the logic does not know that you have to tell it that connected
27:4227 minutes, 42 secondsis actually a symmetric relation and then there is more but the main thing I want to get to next is how do you
27:5027 minutes, 50 secondsdescribe the behavior of these gates and this is where we start putting a lot of things together so if you want to
27:5727 minutes, 57 secondsdescribe how and or gate functions let me again write that here and then we'll see what it's actually saying so this
28:0528 minutes, 5 secondswould be for all G if typeof g equals or
28:1228 minutes, 12 secondsthen signal out 1 g 1 if and only if
28:2028 minutes, 20 secondsthere exists all right this is how much bigger than what we wrote but let's just
28:2928 minutes, 29 secondslook at it because it's actually put a lot of the vocabulary together so I'm trying to explain or capture knowledge about how or gates behave now you know
28:3828 minutes, 38 secondsfor a nor gate the output would be one if and only if one of the inputs is one and what this guy is doing is just
28:4528 minutes, 45 secondssaying that says for all G if the type of G happens to be also it is a nor gate then you've got the following that the
28:5428 minutes, 54 secondssignal on the first output of this game so this is the gate this is first up on that signal is one if and
29:0229 minutes, 2 secondsonly air there is an input end that has that particular signal of one and if you
29:0929 minutes, 9 secondslook at the rest of the example in your book you're gonna find similar statements for an XOR and not you would
29:1829 minutes, 18 secondsneed to include those kind of statements in there and I will leave you with something to spark your curiosity is to
29:2629 minutes, 26 secondsget you to read more about us this example the domain part which is not specific to the instance we have has
29:3529 minutes, 35 secondsanother statement I'm gonna write it to you actually two statements for all the
29:4029 minutes, 40 secondssignal he equals 1 or Sigma equals 0 and
29:4929 minutes, 49 secondsmoreover not 1 equals 0 that would be the general part of this knowledge base
29:5829 minutes, 58 secondsnow I think people who see this from me and ok now maybe yeah I understand how
30:0530 minutes, 5 secondsit has to be connected why I connect it symmetric and why I have to say that and then yeah of course I need to describe
30:1230 minutes, 12 secondshow gates behave this may actually end up looking weird and the reason is that in in terms of the logic in general it's
30:2130 minutes, 21 secondspossible that two constants will name the same object just like we couldn't have nicknames right so a person could
30:3030 minutes, 30 secondshave been referred to by two different names so in this case you want to say that no 1 and 0 are not the same guy in
30:3930 minutes, 39 secondsfact there was an example in your book which is interesting that shows what happens if you drop this statement from your knowledge base what kind of trouble
30:4730 minutes, 47 secondsyou get into so you may want to check it out I just want to finish off by telling you about the second part of this knowledge base which is the one that is
30:5530 minutes, 55 secondsspecific to this instance and how it looks and then we will have the whole thing together so in addition to this
31:0331 minutes, 3 secondsfirst part that we did here on the left on the right you go and start describing what you have in this particular case so what you have in this particular case is
31:1131 minutes, 11 secondsI had we type x1 equals x or and then the type of X 2
31:1931 minutes, 19 secondsis also x over and so on right so I declare the types of the five gates that
31:2631 minutes, 26 secondsI had in this particular case and this was right so I went ahead for each one
31:3331 minutes, 33 secondsof the five gates and declared what it is and then I have to declare the connectivity how are they connected together I'll just give you a couple of examples
31:4031 minutes, 40 secondsso you will have connected out one of x1
31:4631 minutes, 46 secondsin to a two so what is this statement
31:5331 minutes, 53 secondssaying let's look at this next one this is the output one and then the
31:5931 minutes, 59 secondssecond input of a two which is this guy so I'm saying that this output and this
32:0832 minutes, 8 secondsinput are connected right I'm basically stating this file and so on so you can have a bunch of these and that's
32:1532 minutes, 15 secondsbasically it so the minute that you had these two components one and two you're
32:2432 minutes, 24 secondsready to stop asking quiz and let me show you the query that I sketched at
32:3032 minutes, 30 secondsthe very beginning there exists I 1 I 2
32:3532 minutes, 35 secondsI 3 and then signal in one equals now
32:4732 minutes, 47 secondswhat is C 1 C 1 is this guy so in this formulation and the way people did it I can talk about this whole box as another
32:5732 minutes, 57 secondscomponent or gate C 1 that has three inputs one two and three and has two outputs one and two so what this guy said
33:0533 minutes, 5 secondsdoes there exist some I 1 I 2 and I 3 so that they all happen to be the values of the input one two and three and at the
33:1333 minutes, 13 secondssame time this output here is 0 and this output here is 1 and then you get the answer
33:2033 minutes, 20 secondsnot only yes but you get the binding lists and in this case you're gonna get rebinding or for this particular guy you
33:3033 minutes, 30 secondswill get one one zero you'll get one zero one and you will get
33:3733 minutes, 37 secondszero one one fine so not only do you get it yes you get it yes and by the way here's the combination of I 1 I 2 I 3
33:4533 minutes, 45 secondsthat makes that statement true so what happened here is move isn't backward we said what kind of circuit inputs will generate that particular output and and
33:5433 minutes, 54 secondsyou get it this way now of course this is fine I mean it's a turn ok example
34:0034 minutesnot very sophisticated kind of reasoning it gets more interesting if you start
34:0734 minutes, 7 secondsreasoning about folds but to do that you will have to expand your vocabulary so
34:1534 minutes, 15 secondsI'm just gonna sketch something for you and for those or it just it can think more about this then you may have to introduce a predicate that says ok that
34:2334 minutes, 23 secondsis the gate is behaving ok and then those statements that we did here for behavior they will all be conditioned on
34:3134 minutes, 31 secondsthe gate beam ok and then you may include the political called stuck 0 and what this means is if a gate is stuck
34:3934 minutes, 39 secondszero the output will always be zero regardless over the input X that you can have stuck one as well and so on so if
34:4834 minutes, 48 secondsyou expand your vocabulary to start talking about the state of gates then you'll have to expand or you find your statements and do other things and you
34:5734 minutes, 57 secondscan do more reasoning but you can look at this example in your book the intention here was to show you how everything comes together and how your
35:0535 minutes, 5 secondsknowledge base will have two parts one general one specific instance and how queries that have existential quantification can actually do some kind
35:1435 minutes, 14 secondsof computation on your behalf and as I mentioned it's not as easy to play this game which by the way it's called
35:2235 minutes, 22 secondsknowledge engineering the process of coming up with the vocabulary and making sure that you put all of the right statements and debugging your knowledge
35:3035 minutes, 30 secondsbase and so on but hopefully this gives you a good idea about what's going on so we're done for today and the next
35:3835 minutes, 38 secondslecture on the logic which would be the last one we will talk about how to do inference in
35:4535 minutes, 45 secondsthe context of first-order logic and tight a little bit also more to the inference in the propositional workings
35:5435 minutes, 54 secondsall right then so I will see you next week thank you
